id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
554,BP20414,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,26,Hutan,Mangrove,Rakun,1.4160148,102.3165033,0,0.09,Belum,-,-,Arapik,10/14/2021 4:07,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634177206809.jpg,media/1634177249711.jpg,media/1634177178177.jpg,media/1634177229423.jpg,adopsipohonriau/554
555,BP20415,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,27,Hutan,Mangrove,Rakun,1.4160148,102.3165033,0,0.09,Belum,-,-,Arapik,10/14/2021 4:13,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634177460864.jpg,media/1634177599691.jpg,media/1634177430241.jpg,media/1634177575632.jpg,adopsipohonriau/555
556,BP20420,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,27,Hutan,Mangrove,Rakun,1.4127722,102.3157876,0,0.24,Belum,-,-,Arapik,10/14/2021 4:17,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634177776518.jpg,media/1634177824215.jpg,media/1634177747645.jpg,media/1634177796309.jpg,adopsipohonriau/556
557,BP20412,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,30,21,Hutan,Mangrove,Rakun,1.4312752,102.3329655,0,0.14,Belum,-,-,Zahari,10/14/2021 4:02,"200,000.00",1.12,-,Krisnawati et al. (2012),media/1634177046783.jpg,media/1634177129143.jpg,media/1634177109491.jpg,media/1634177032133.jpg,adopsipohonriau/557
558,BP20421,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,48,30,Hutan,Mangrove,Rakun,1.4323792,102.3169611,0,0.25,Belum,-,-,Arapik,10/14/2021 4:21,"200,000.00",3.47,-,Krisnawati et al. (2012),media/1634178018920.jpg,media/1634178060331.jpg,media/1634177972047.jpg,media/1634178039715.jpg,adopsipohonriau/558
559,BP20422,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,27,Hutan,Mangrove,Rakun,1.4323792,102.3169611,0,0.25,Belum,-,-,Arapik,10/14/2021 4:25,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634178240620.jpg,media/1634178291367.jpg,media/1634178203360.jpg,media/1634178272745.jpg,adopsipohonriau/559
560,BP20426,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,42,29,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 4:31,"200,000.00",2.52,-,Krisnawati et al. (2012),media/1634178625191.jpg,media/1634178700473.jpg,media/1634178573575.jpg,media/1634178645152.jpg,adopsipohonriau/560
561,BP20427,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,32,27,Hutan,Mangrove,Rakun,1.4127722,102.3157876,0,0.24,Belum,-,-,Arapik,10/14/2021 4:35,"200,000.00",1.31,-,Krisnawati et al. (2012),media/1634178861289.jpg,media/1634178909110.jpg,media/1634178823928.jpg,media/1634178891445.jpg,adopsipohonriau/561
562,BP20428,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,29,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 4:38,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634179069452.jpg,media/1634179123031.jpg,media/1634179019184.jpg,media/1634179103536.jpg,adopsipohonriau/562
563,BP20431,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,28,19,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 4:42,"200,000.00",0.95,-,Krisnawati et al. (2012),media/1634179284688.jpg,media/1634179355052.jpg,media/1634179254135.jpg,media/1634179339431.jpg,adopsipohonriau/563
564,BP20437,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,34,22,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 4:48,"200,000.00",1.52,-,Krisnawati et al. (2012),media/1634179611021.jpg,media/1634179662605.jpg,media/1634179565919.jpg,media/1634179642042.jpg,adopsipohonriau/564
565,BP20438,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,34,20,Hutan,Mangrove,Rakun,1.4323792,102.3169611,0,0.25,Belum,-,-,Arapik,10/14/2021 4:51,"200,000.00",1.52,-,Krisnawati et al. (2012),media/1634179842184.jpg,media/1634179884621.jpg,media/1634179795761.jpg,media/1634179861363.jpg,adopsipohonriau/565
566,BP20439,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,30,20,Hutan,Mangrove,Rakun,1.4323792,102.3169611,0,0.25,Belum,-,-,Arapik,10/14/2021 4:55,"200,000.00",1.12,-,Krisnawati et al. (2012),media/1634180078461.jpg,media/1634180121478.jpg,media/1634180025611.jpg,media/1634180104801.jpg,adopsipohonriau/566
567,BP20440,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,27,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 4:59,"200,000.00",2.81,-,Krisnawati et al. (2012),media/1634180286833.jpg,media/1634180344395.jpg,media/1634180260365.jpg,media/1634180316172.jpg,adopsipohonriau/567
568,BP20441,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,30,22,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 5:03,"200,000.00",1.12,-,Krisnawati et al. (2012),media/1634180526503.jpg,media/1634180577505.jpg,media/1634180487399.jpg,media/1634180560610.jpg,adopsipohonriau/568
569,BP20445,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,45,30,Hutan,Mangrove,Rakun,1.4360395,102.3030259,0,0.69,Belum,-,-,Arapik,10/14/2021 5:08,"200,000.00",2.97,-,Krisnawati et al. (2012),media/1634180839126.jpg,media/1634180901527.jpg,media/1634180801866.jpg,media/1634180866400.jpg,adopsipohonriau/569
570,BP20416,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,38,27,Hutan,Mangrove,Rakun,1.4248757,102.3047284,-15,0.69,Belum,-,-,Zahari,10/14/2021 4:08,"200,000.00",1.98,-,Krisnawati et al. (2012),media/1634177302689.jpg,media/1634177316878.jpg,media/1634177282319.jpg,media/1634177268323.jpg,adopsipohonriau/570
571,BP20490,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,38,23,Hutan,Mangrove,Rakun,1.4127722,102.3157876,-27.40570214,0.24,Belum,-,-,Arapik,10/14/2021 9:30,"200,000.00",1.98,-,Krisnawati et al. (2012),media/1634196570236.jpg,media/1634196614932.jpg,media/1634196522605.jpg,media/1634196590440.jpg,adopsipohonriau/571
572,BP20491,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50,26,Hutan,Mangrove,Rakun,1.4360395,102.3030259,-27.40570214,0.69,Belum,-,-,Arapik,10/14/2021 9:37,"200,000.00",3.82,-,Krisnawati et al. (2012),media/1634197014694.jpg,media/1634196994797.jpg,media/1634196875972.jpg,media/1634197037783.jpg,adopsipohonriau/572
573,BP20417,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,29,Hutan,Mangrove,Rakun,1.4254180,102.3044589,48,0.65,Belum,-,-,Zahari,10/14/2021 4:11,"200,000.00",2.38,-,Krisnawati et al. (2012),media/1634177473952.jpg,media/1634177487925.jpg,media/1634177453916.jpg,media/1634177434211.jpg,adopsipohonriau/573
